country,year,iso_code,gdp,population,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,fossil_cons_change_pct,paris_agreement,renewable_growth
Algeria,1990,DZA,117843181568.0,25518074.0,0.127,99.873,0.127,2.433,35.499,,,,5.29,0.0,0.0,0.0,2.673,,,,,,,0,
Algeria,1991,DZA,121105145856.0,26133906.0,0.278,99.722,0.278,2.534,35.447,,,,11.211,0.0,0.0,0.0,2.577,0.127,,,,,-0.0015119201385761505,0,1.188976377952756
Algeria,1992,DZA,127982690304.0,26748302.0,0.184,99.816,0.184,2.934,34.754,,,,7.44,0.0,0.0,0.0,2.502,0.278,0.127,,,,0.0009426204849483089,0,-0.3381294964028778
Algeria,1993,DZA,130275778560.0,27354326.0,0.35,99.65,0.35,2.568,37.167,,,,12.905,0.0,0.0,0.0,2.287,0.184,0.278,0.127,,,-0.0016630600304560206,0,0.9021739130434783
Algeria,1994,DZA,134279856128.0,27937006.0,0.163,99.837,0.163,2.388,35.125,,,,5.942,0.0,0.0,0.0,2.248,0.35,0.184,0.278,0.127,,0.0018765679879577668,0,-0.5342857142857143
Algeria,1995,DZA,145054662656.0,28478024.0,0.182,99.818,0.182,2.303,32.938,,,,6.777,0.0,0.0,0.0,2.159,0.163,0.35,0.184,0.278,0.127,-0.0001903102056352024,0,0.1165644171779141
Algeria,1996,DZA,156579119104.0,28984640.0,0.129,99.871,0.129,1.096,31.757,,,,4.658,0.0,0.0,0.0,1.979,0.182,0.163,0.35,0.184,0.278,0.0005309663587729219,0,-0.2912087912087912
Algeria,1997,DZA,164644454400.0,29476030.0,0.074,99.926,0.074,1.999,32.782,,,,2.544,0.0,0.0,0.0,1.809,0.129,0.182,0.163,0.35,0.184,0.0005507104164372834,0,-0.4263565891472869
Algeria,1998,DZA,179962888192.0,29924664.0,0.206,99.794,0.206,2.067,32.644,,,,7.185,0.0,0.0,0.0,1.713,0.074,0.129,0.182,0.163,0.35,-0.0013209775233673504,0,1.7837837837837838
Algeria,1999,DZA,193179779072.0,30346086.0,0.193,99.807,0.193,2.192,31.756,,,,6.689,0.0,0.0,0.0,1.612,0.206,0.074,0.129,0.182,0.163,0.00013026835280682825,0,-0.06310679611650483
Algeria,2000,DZA,208554147840.0,30774624.0,0.053,99.947,0.053,1.881,34.384,638.583,16.22,823.081,1.625,0.0,0.0,0.0,1.438,0.193,0.206,0.074,0.129,0.182,0.0014027072249440664,0,-0.7253886010362695
Algeria,2001,DZA,223420284928.0,31200984.0,0.065,99.935,0.065,2.095,34.354,638.242,16.99,851.576,2.244,0.0,0.0,0.0,1.391,0.053,0.193,0.206,0.074,0.129,-0.00012006363372585316,0,0.2264150943396228
Algeria,2002,DZA,245360918528.0,31624700.0,0.052,99.948,0.052,2.655,36.775,637.975,17.64,873.684,1.897,0.0,0.0,0.0,1.312,0.065,0.053,0.193,0.206,0.074,0.00013008455496055227,0,-0.20000000000000007
Algeria,2003,DZA,273568645120.0,32055882.0,0.228,99.772,0.228,2.092,36.559,634.089,18.75,922.764,8.111,0.0,0.0,0.0,1.232,0.052,0.065,0.053,0.193,0.206,-0.0017609156761514422,0,3.384615384615385
