country,year,iso_code,gdp,population,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,renewable_ma_3,renewable_ma_5,renewable_trend_3,renewable_trend_5,fossil_cons_change_pct,paris_agreement,years_since_paris,policy_strength,renewable_tech_index,tech_growth_rate,energy_intensity,energy_per_capita,gdp_renewable_interaction,population_renewable_interaction,policy_economic_interaction,region,region_renewable_avg,renewable_growth
Algeria,1990,DZA,-0.34860293146940285,-0.2845942896239288,0.127,99.873,0.127,2.433,35.499,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.45897486321902453,0.0,0.0,0.0,0.9676007564691326,0.188,0.186,0.184,0.183,0.182,0.127,0.127,-0.020999999999999998,0.006000000000000005,0.13056669292976888,0,0,0,0.0,0.01976284584980248,314994824331.264,12343.988983309006,14966084059.136,3240795.398,0.0,DZ,0.127,0.016949152542372836
Algeria,1991,DZA,-0.34768872790886046,-0.2821657536581734,0.278,99.722,0.278,2.534,35.447,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.45737265200448607,0.0,0.0,0.0,0.8680312690780718,0.127,0.186,0.184,0.183,0.182,0.2025,0.2025,-0.020999999999999998,0.006000000000000005,0.07217826926161519,0,0,0,0.0,0.01976284584980248,312087960870.912,11941.879674278769,33667230547.968002,7265225.868000001,0.0,DZ,0.278,1.188976377952756
Algeria,1992,DZA,-0.3457612158127654,-0.2797428805641864,0.184,99.816,0.184,2.934,34.754,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.45839307735324886,0.0,0.0,0.0,0.7902426070538053,0.278,0.127,0.184,0.183,0.182,0.19633333333333333,0.19633333333333333,-0.020999999999999998,0.006000000000000005,0.1702214237455308,0,0,0,0.0,0.01976284584980248,320212691140.608,11971.327792717757,23548815015.936,4921687.568,0.0,DZ,0.184,-0.3381294964028778
Algeria,1993,DZA,-0.3451185510674814,-0.2773530224858291,0.35,99.65,0.35,2.568,37.167,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.45691425886187026,0.0,0.0,0.0,0.5672484425842423,0.184,0.278,0.127,0.183,0.182,0.27066666666666667,0.23475000000000001,0.22299999999999998,0.006000000000000005,0.0661411999924242,0,0,0,0.0,0.01976284584980248,297940705566.72,10891.904467568309,45596522496.0,9574014.1,0.0,DZ,0.35,0.9021739130434783
Algeria,1994,DZA,-0.34399636159936864,-0.27505522156524304,0.163,99.837,0.163,2.388,35.125,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.4587984332727521,0.0,0.0,0.0,0.5267983383316243,0.35,0.184,0.278,0.127,0.182,0.2323333333333333,0.2204,-0.11500000000000002,0.006000000000000005,0.2075266361505888,0,0,0,0.0,0.01976284584980248,301861116575.744,10805.0632403395,21887616548.864002,4553731.978,0.0,DZ,0.163,-0.5342857142857143
Algeria,1995,DZA,-0.34097659632226546,-0.27292171490901046,0.182,99.818,0.182,2.303,32.938,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.45857248387836946,0.0,0.0,0.0,0.4344891260628279,0.163,0.35,0.184,0.278,0.127,0.23166666666666666,0.2314,-0.0020000000000000018,0.05499999999999999,0.1249681092752431,0,0,0,0.0,0.01976284584980248,313173016674.30396,10997.006557558347,26399948603.392,5183000.368,0.0,DZ,0.182,0.1165644171779141
Algeria,1996,DZA,-0.3377467329062754,-0.27092387267796836,0.129,99.871,0.129,1.096,31.757,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.4591458812037549,0.0,0.0,0.0,0.24779633720458932,0.182,0.163,0.35,0.184,0.278,0.158,0.2016,-0.22099999999999997,-0.14900000000000002,0.15377848175477968,0,0,0,0.0,0.01976284584980248,309870076706.81604,10690.837516243639,20198706364.416,3739018.56,0.0,DZ,0.129,-0.2912087912087912
Algeria,1997,DZA,-0.3354863285628875,-0.26898607423908805,0.074,99.926,0.074,1.999,32.782,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.45971792553875473,0.0,0.0,0.0,0.07147536994958575,0.129,0.182,0.163,0.35,0.184,0.12833333333333333,0.1796,-0.08900000000000001,-0.11,0.15456713022006635,0,0,0,0.0,0.01976284584980248,297841818009.6,10104.54318337985,12183689625.599998,2181226.2199999997,0.0,DZ,0.074,-0.4263565891472869
Algeria,1998,DZA,-0.33119315871854027,-0.2672168842579557,0.206,99.794,0.206,2.067,32.644,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.45846207986291065,0.0,0.0,0.0,-0.028094117441474862,0.074,0.129,0.182,0.163,0.35,0.13633333333333333,0.1508,0.023999999999999994,-0.144,0.07980520203309176,0,0,0,0.0,0.01976284584980248,308276427472.896,10301.750672050854,37072354967.551994,6164480.784,0.0,DZ,0.206,1.7837837837837838
Algeria,1999,DZA,-0.32748897080138667,-0.2655550049081321,0.193,99.807,0.193,2.192,31.756,0.7202274513236256,-0.2615972320981567,-0.919310798746664,-0.4585962965091547,0.0,0.0,0.0,-0.13284951563415334,0.206,0.074,0.129,0.182,0.163,0.15766666666666665,0.1568,0.064,0.03,0.13777316649382443,0,0,0,0.0,0.01976284584980248,311405803864.064,10261.811156274454,37283697360.896,5856794.598,0.0,DZ,0.193,-0.06310679611650483
Algeria,2000,DZA,-0.32318012452722494,-0.263865063583724,0.053,99.947,0.053,1.881,34.384,0.7373631361779167,-0.2835167736611614,-1.0447828945079154,-0.4597926106080357,0.0,0.0,0.0,-0.3133192115304511,0.193,0.206,0.074,0.129,0.182,0.15066666666666667,0.131,-0.020999999999999998,-0.129,0.18859893801157473,0,0,0,0.0,0.01976284584980248,299900864593.92,9745.069983435702,11053369835.52,1631055.072,0.0,DZ,0.053,-0.7253886010362695
