gdp,population,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,fossil_cons_change_pct,paris_agreement,renewable_growth,renewables_share_energy
-0.34789388011726496,-0.2818277140791713,99.873,0.127,2.433,35.499,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.45571512320364904,0.0,0.0,0.0,0.9798954703266289,0.188,0.186,0.184,0.183,0.182,0.13009289960071874,0,0.016949152542372836,0.127
-0.34697031867556666,-0.2793860422958279,99.722,0.278,2.534,35.447,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.4541050962352005,0.0,0.0,0.0,0.8800699366925803,0.127,0.186,0.184,0.183,0.182,0.07125429378790508,0,1.188976377952756,0.278
-0.34502307636849855,-0.27695006401441513,99.816,0.184,2.934,34.754,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.4551304993255601,0.0,0.0,0.0,0.8020812385409796,0.278,0.127,0.184,0.183,0.182,0.17005337341557256,0,-0.3381294964028778,0.184
-0.3443738332411462,-0.27454727932503736,99.65,0.35,2.568,37.167,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.453644467002883,0.0,0.0,0.0,0.5785136371730584,0.184,0.278,0.127,0.183,0.182,0.06517067794971419,0,0.9021739130434783,0.35
-0.3432401569268536,-0.27223704972553864,99.837,0.163,2.388,35.125,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.45553783261364256,0.0,0.0,0.0,0.5379595141342264,0.35,0.184,0.278,0.127,0.182,0.20764621373507733,0,-0.5342857142857143,0.163
-0.3401894810234944,-0.2700920030490411,99.818,0.182,2.303,32.938,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.45531078101447775,0.0,0.0,0.0,0.4454129256609934,0.163,0.35,0.184,0.278,0.127,0.12445115015684098,0,0.1165644171779141,0.182
-0.3369265563952085,-0.26808335459915494,99.871,0.129,1.096,31.757,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.4558869754319989,0.0,0.0,0.0,0.25824005009715256,0.182,0.163,0.35,0.184,0.278,0.15348365425864918,0,-0.2912087912087912,0.129
-0.3346430143217541,-0.266135074715003,99.926,0.074,1.999,32.782,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.4564618102591058,0.0,0.0,0.0,0.08146566762019128,0.129,0.182,0.163,0.35,0.184,0.1542783833035299,0,-0.4263565891472869,0.074
-0.33030589915174907,-0.26435631528248166,99.794,0.206,2.067,32.644,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.4551998384366823,0.0,0.0,0.0,-0.0183598660138572,0.074,0.129,0.182,0.163,0.35,0.07894003117742981,0,1.7837837837837838,0.206
-0.32656379478818903,-0.26268544691857704,99.807,0.193,2.192,31.756,0.6981913705034595,-0.2610150448487253,-0.9268762550377522,-0.45533470980576696,0.0,0.0,0.0,-0.12338464619134583,0.206,0.074,0.129,0.182,0.163,0.1373549359890584,0,-0.06310679611650483,0.193
